Species,Spider,Hue (°),Saturation,y,x,Diet
Nephila,W2,49.14347364,0.409354583,0.309615356,0.267786307,Protein
Nephila,W16,49.59964108,0.404310641,0.3078964,0.262043701,Protein
Nephila,W18,46.36814665,0.280804071,0.203242717,0.193760997,Protein
Nephila,W26,43.46548842,0.340368997,0.234145799,0.247036028,Protein
Nephila,Y2,47.67063498,0.346550541,0.256199987,0.233364188,Protein
Nephila,Y4,39.81814417,0.297491296,0.190499433,0.228497346,Protein
Nephila,Y16,50.09946903,0.420778997,0.322804482,0.269911524,Protein
Nephila,Y27,45.60449008,0.365672458,0.26128303,0.255827138,Protein
Nephila,W3,49.93363179,0.424163117,0.324611762,0.273022991,Sugar
Nephila,W15,49.38238129,0.408443722,0.310037848,0.265899994,Sugar
Nephila,W17,47.59167699,0.300037769,0.221535101,0.202348367,Sugar
Nephila,W25,39.24622725,0.13877849,0.087798814,0.107474824,Sugar
Nephila,Y18,44.40981817,0.349421674,0.244520312,0.249610343,
Argiope,Ak1,37.57391839,0.258885963,0.157864632,0.20518455,
Argiope,Ak2,37.69937335,0.183373581,0.112136316,0.145090719,
Argiope,Ak4,53.29295022,0.089188342,0.071502482,0.053309994,
Argiope,Ak5,44.7115607,0.2977602,0.209485648,0.211605529,
Argiope,AkOB4,38.48049358,0.24832403,0.154519171,0.194393029,
,Cl,44.73061925,0.269415586,0.189607808,0.191399157,
Eriophera,Et1,43.84353882,0.163017917,0.112921115,0.117574075,
Eriophera,Et4,32.36911009,0.218630375,0.117048475,0.184658862,
Eriophera,Et13,52.34555588,0.165332232,0.1308951,0.101001087,
Latrodectus,Lh1,51.38468957,0.273038819,0.2133399,0.170400362,
Latrodectus,Lh2,48.51851082,0.20050593,0.150212979,0.132810726,
Latrodectus,Lh3,43.85066302,0.164892941,0.114234715,0.118912203,
Latrodectus,Lh5,36.3950166,0.226449023,0.134363273,0.182279101,
Latrodectus,Lh6,54.34583949,0.382877976,0.311107549,0.223176248,
Latrodectus,Lh7,56.45348844,0.368325954,0.306976661,0.203541981,
Latrodectus,Lh8,47.78576845,0.312060665,0.231123901,0.209674989,
Latrodectus,Lh9,39.11352044,0.18387398,0.11599854,0.142667373,
Latrodectus,Lh10,30.22559904,0.129379751,0.065130549,0.111790571,
Nephila,Np,52.54753241,0.494187279,0.392314571,0.300516795,
Nephila,Np1,49.73193577,0.437459455,0.333794129,0.282758297,
Nephila,Np2,50.48403321,0.425448296,0.328210938,0.270709869,
Nephila,Np3,56.50429447,0.408734326,0.340854668,0.225570045,
Nephila,Np4,49.25694908,0.446020493,0.337924816,0.291103244,
Nephila,Np9,51.59803948,0.440495185,0.345203832,0.273624418,
Nephila,Np20,49.37664494,0.424119015,0.321908866,0.27613696,
Nephila,Np23,29.37266638,0.277269327,0.135997298,0.241625773,
Nephila,Np27,55.57096541,0.412596428,0.340320714,0.233275855,
Phenognatha,Pg3,15.09040062,0.261569827,0.068097808,0.252549922,
