wl,W1.N,W13.N,W15.N,W25.N,W27.N,Y1.N,Y3.N,Y9.N,Y11.N,Y14.N,Y25.N
300.031616,18.97058733,8.983784667,10.89767133,13.312507,7.270495333,9.264817667,6.59822,8.02789,14.03589467,12.873555,10.132058
300.402832,18.93580367,8.968372,10.90969367,13.413679,7.280435667,9.241811667,6.558941667,8.038265,14.09061067,12.87553567,10.12682333
300.773987,18.988869,8.997526,10.89177633,13.50109033,7.244763667,9.273651,6.606104,8.097376333,14.11494933,12.96603533,10.16558567
301.145111,18.948077,9.030270667,10.85868967,13.51807233,7.258683,9.256759333,6.598137333,8.090962667,14.082388,13.036767,10.21533267
301.516174,18.97546533,9.014126667,10.83157967,13.50313767,7.273919,9.287466,6.616714667,8.063937,13.97902933,13.02111867,10.222597
301.887207,19.04480267,9.018680333,10.79021267,13.56530933,7.367096667,9.252836,6.643771333,8.04126,13.98398767,13.07169733,10.33267267
302.258301,19.05162433,9.029132667,10.77858567,13.60607633,7.441756667,9.180312667,6.536643667,7.925987333,13.96064333,13.07785033,10.38193133
302.629303,19.07314767,9.008864333,10.79943533,13.62129567,7.469285667,9.158399667,6.529146667,7.979402,13.844543,13.12218467,10.44288067
303.000305,19.04463,9.049641667,10.79083633,13.66297333,7.402165,9.120652,6.508719,7.996957,13.79652967,13.15641333,10.508531
303.371216,19.17036633,9.0155,10.75203467,13.660653,7.436466667,9.094165333,6.531119,7.962906667,13.790306,13.25652533,10.58142867
303.742126,19.20549267,8.878274,10.67362833,13.71497733,7.402849,9.067781,6.460289,7.850393333,13.727295,13.15322567,10.703316
304.113037,19.14220067,8.878367,10.74534067,13.637031,7.407217333,9.047796,6.537527,7.831867333,13.78892933,13.17297667,10.69196633
304.483856,19.19354333,8.876475,10.61167033,13.69359833,7.476084333,9.101127,6.537771333,7.847030667,13.83845567,13.149537,10.72410167
304.854736,19.19678133,8.899437,10.55754133,13.685129,7.396698,9.073872,6.535526333,7.771311,13.717888,13.12193533,10.83779467
305.225525,19.26933767,8.931665333,10.57221267,13.768516,7.385837333,9.071562,6.471175,7.837977,13.60794333,13.076334,10.803181
305.596283,19.25849667,8.956918333,10.55784967,13.705915,7.344662333,9.038219,6.452779,7.767811,13.563909,13.161778,10.76131333
305.967041,19.30130033,8.941949,10.518277,13.65561533,7.393824,9.041956667,6.413568667,7.786881,13.53975967,13.136171,10.74299
306.337769,19.317405,8.956195333,10.435751,13.664335,7.310626667,9.050871333,6.396548333,7.738744,13.49219267,13.129062,10.777309
306.708405,19.348769,8.910451,10.348655,13.64190367,7.343378333,9.108013667,6.384467667,7.702632333,13.43412133,13.18389233,10.766316
307.079071,19.35578467,8.880448333,10.261931,13.59277133,7.336701,9.061029333,6.398385333,7.660832,13.454347,13.23084367,10.824844
307.449677,19.26987133,8.802422667,10.284951,13.65153533,7.368622,8.986327667,6.359662,7.650829,13.41998333,13.14105667,10.82298067
307.820313,19.32930533,8.780409333,10.21985133,13.62774833,7.469589667,8.975264667,6.480845,7.629368,13.467694,13.06894967,10.835232
308.190857,19.24859833,8.774056667,10.25326233,13.52842433,7.456682667,8.960570667,6.494209,7.678396667,13.39280133,13.053795,10.82138467
308.561401,19.23995033,8.756113,10.302062,13.49049233,7.533292,8.977285,6.486705667,7.609718,13.352915,13.00778333,10.852189
308.931915,19.281072,8.771464667,10.29997133,13.50456033,7.546137667,8.985896,6.520488,7.716466667,13.35269567,12.925328,10.837179
309.302399,19.27248133,8.827983333,10.19711833,13.49696633,7.585772,8.973811,6.467556,7.717527333,13.32419,12.959223,10.90468
309.672821,19.24021467,8.808671333,10.154897,13.501334,7.514558667,8.918895667,6.466100333,7.731169667,13.38678667,12.921587,10.91499933
310.043243,19.27570533,8.882143667,10.18218167,13.50207067,7.519467667,8.940510333,6.475346333,7.833705333,13.379436,12.91610467,10.942087
310.413635,19.24807067,8.933349,10.126738,13.51008667,7.481644,8.920343,6.438748333,7.784540333,13.432982,12.920132,10.88641133
310.784027,19.23703467,8.887239,10.13534633,13.51669233,7.533731,8.894161333,6.379588667,7.783437333,13.39317267,12.90356667,10.883246
311.154327,19.13693933,8.920420667,10.14033333,13.47929933,7.497087667,8.826516333,6.295023,7.791827333,13.45086067,12.85228633,10.841554
311.524628,19.15069467,8.971467,10.18863967,13.47946133,7.592318667,8.745430667,6.32147,7.847445333,13.469142,12.92861267,10.827186
311.894928,19.13248533,8.974735667,10.09946833,13.54742733,7.614829,8.708651667,6.213935,7.824421667,13.458958,12.919106,10.82927967
312.265167,19.09792467,8.952728,10.14354067,13.472716,7.557379667,8.650474,6.172443,7.746149,13.44673967,12.946849,10.824939
312.635345,19.03448233,8.912158667,10.15031367,13.54908567,7.614434,8.670821667,6.136346,7.781455,13.39525533,12.97430867,10.77762633
313.005524,19.004865,8.859085667,10.06335333,13.60918233,7.676345667,8.624369,6.143501,7.70355,13.389951,13.01693,10.88120233
313.375671,18.898925,8.761006,10.02928933,13.70810033,7.673889,8.635089667,6.170393333,7.707366,13.35608233,12.93729267,10.903717
313.745819,18.81146967,8.742621333,9.978785333,13.69803833,7.696361,8.610972333,6.18616,7.711172667,13.36546967,12.972468,10.97746667
314.115906,18.77457733,8.828702,10.01114533,13.749819,7.738137667,8.576012667,6.133765667,7.776300667,13.40919933,12.940829,11.02811567
314.485962,18.777965,8.882603,10.021178,13.73440767,7.700549333,8.509835667,6.150979333,7.836924667,13.468458,12.94602933,11.097515
314.855988,18.76972267,8.874312667,10.03083933,13.74006567,7.696713333,8.444890333,6.093545,7.828232,13.426603,12.90657233,11.09870433
315.225983,18.84066133,8.864088,10.05406867,13.693229,7.699462667,8.473670667,6.084493667,7.842376333,13.387966,13.03515767,11.12428667
315.595947,18.693195,8.952224,9.997497667,13.73390967,7.710430667,8.424874333,5.924645667,7.858127,13.311843,13.107133,11.11193167
315.965912,18.640737,8.931821667,9.877690667,13.79521733,7.721997667,8.341182,5.923379667,7.872137333,13.27845567,13.17935067,11.18544033
316.335815,18.60485167,8.976520333,9.826936333,13.83764967,7.755318667,8.228277333,5.915681333,7.858674,13.22674767,13.21090133,11.16428233
316.705688,18.58527233,8.898928667,9.776953667,13.90426367,7.718508,8.134776333,5.936334667,7.748822667,13.16582333,13.38241733,11.181272
317.075562,18.64528267,8.790224667,9.80392,13.93193167,7.618409,8.072818,5.972527,7.741069667,13.11516667,13.42006367,11.21399367
317.445374,18.737744,8.725868333,9.821467,13.98898133,7.715403667,8.060621333,5.863769333,7.81793,12.98898167,13.46753333,11.14210633
317.815216,18.67944467,8.645183333,9.798412333,13.97475033,7.637172333,8.041225,5.775012667,7.777001333,13.01973867,13.44502233,11.18507533
318.184967,18.69160833,8.576286,9.803168667,13.977548,7.601660667,8.018274,5.849403,7.793752,12.95602333,13.38398067,11.28450933
318.554688,18.72926633,8.581227667,9.736092667,13.98789267,7.600615333,7.989487,5.8888,7.813584333,12.97076,13.385823,11.29918133
318.924377,18.81071433,8.593554,9.707,14.06909333,7.629143333,7.947846,5.903540667,7.780077333,12.859191,13.4186,11.39907667
319.294037,18.83219467,8.595688333,9.750540333,14.01384567,7.480509,8.001882,5.941688333,7.817875667,12.761022,13.50189233,11.37559367
319.663696,18.89999467,8.580503667,9.810023333,13.97500233,7.455938667,8.019984333,5.885522,7.806252333,12.77059867,13.52126733,11.40153267
320.033295,18.91424533,8.568104,9.843236,13.99523733,7.524772,7.974071667,5.913194,7.879082333,12.66189667,13.452837,11.37371567
320.402924,18.93865567,8.507106667,9.962166,13.91995267,7.512832667,7.897596,5.881958333,7.791042333,12.70389567,13.50911533,11.43439033
320.772461,18.88122667,8.564663333,10.037289,13.77281367,7.441451333,7.92212,5.873663,7.939553667,12.75155833,13.539419,11.38161533
321.141968,18.96585067,8.570524333,10.02342567,13.73468467,7.485847,7.855499667,5.796496333,8.0158,12.820932,13.52676367,11.39086467
321.511475,18.99819,8.543537667,10.036789,13.83722167,7.522788667,7.812221,5.743336667,7.960907333,12.843622,13.56950033,11.40646567
321.88092,19.00281333,8.455828667,10.00272833,13.76739467,7.588264333,7.766191333,5.69394,7.951871667,12.79246667,13.55048267,11.420368
322.250366,19.02950533,8.452288667,10.03599933,13.86839167,7.582218333,7.770303333,5.706314667,7.939025667,12.81065233,13.539281,11.36940967
322.619751,18.961869,8.444825,10.10658533,13.92959167,7.582806667,7.790509667,5.693679667,8.013191333,12.86979967,13.564012,11.40926933
322.989136,19.009723,8.456328333,10.09780867,13.93481267,7.513203,7.807681667,5.76114,7.96084,12.93060767,13.49505133,11.48111867
323.35849,19.08504633,8.336127667,10.22825367,13.91282667,7.511422333,7.851365667,5.811323333,7.950742333,12.885333,13.48741667,11.482212
323.727814,19.15890833,8.435311,10.32929633,13.92662767,7.505764667,7.887832667,5.795960667,7.888216333,12.95643667,13.46422167,11.36538333
324.097107,19.28961733,8.435585667,10.368483,13.92465233,7.447438667,7.965182,5.792266333,7.876860333,13.054161,13.489564,11.28843433
324.466339,19.35219633,8.444952,10.36087567,13.884333,7.403041,8.012508333,5.684078667,7.89359,13.02980733,13.423749,11.31538733
324.835541,19.23592533,8.449517333,10.318998,13.91539,7.494208333,8.003911,5.724076667,7.940878333,13.09547667,13.42191667,11.23872967
