wl,W2.P,W4.P,W10.P,W12.P,W16.P,W26.P,Y16.P,Y19.P,Y27.P
300.031616,7.061126667,4.931809667,7.865985333,12.61953567,9.380849667,8.777079333,5.297381667,5.452910667,7.207326
300.402832,7.05502,4.981987667,7.84514,12.63585367,9.397303333,8.785702,5.296933667,5.400125,7.157017667
300.773987,7.070285333,5.034772667,7.811808667,12.68380467,9.440968,8.723272,5.320029667,5.406683333,7.117325
301.145111,7.068717,5.057641667,7.820056667,12.65255633,9.461350333,8.695824,5.361567,5.419526,7.129552667
301.516174,7.073235,5.017368667,7.875648667,12.690785,9.527057,8.643917,5.45547,5.344800667,7.117181
301.887207,7.040220333,5.019755,7.969948333,12.713793,9.575833,8.598741333,5.486714,5.295241,7.078618667
302.258301,7.027687333,4.974160333,8.001398,12.78385967,9.553156333,8.514503333,5.472517667,5.339616333,7.134464667
302.629303,7.077709667,4.909863,8.012627333,12.789672,9.555488,8.519622,5.527708,5.298840667,7.115364
303.000305,7.014841,4.881053667,7.974658333,12.861428,9.566165667,8.503090333,5.466919667,5.269720333,7.173187667
303.371216,6.983039333,4.879680667,8.038927333,12.90886567,9.553157667,8.498275667,5.522042333,5.321133333,7.217193333
303.742126,7.015077,4.854186,8.094499667,12.90851067,9.536664,8.454997333,5.486505333,5.284176,7.279183333
304.113037,7.062568,4.878671333,8.137119667,12.93058133,9.573015,8.384199333,5.451035667,5.287053333,7.249092667
304.483856,7.022613667,4.930669333,8.198402333,12.914464,9.628393,8.268855333,5.366482667,5.289205667,7.213074
304.854736,7.04817,4.951690667,8.163178667,12.82896133,9.689706,8.136827333,5.388703333,5.350486,7.237279333
305.225525,7.027981667,4.886742333,8.227478,12.83651833,9.728204,8.112968333,5.302597,5.330055,7.226085667
305.596283,7.095051,4.873712667,8.213146333,12.76537067,9.727296333,8.086602333,5.295402,5.313623333,7.266059667
305.967041,6.984279667,4.813728667,8.21585,12.647569,9.661523,8.035474,5.319150667,5.322552333,7.350351
306.337769,7.042209333,4.852619667,8.211562,12.53015633,9.685642667,8.016088667,5.218817,5.31486,7.322531333
306.708405,7.073946,4.846638667,8.226353333,12.493694,9.628601667,8.044346667,5.181717,5.325308333,7.391365333
307.079071,7.043486,4.881019,8.202614667,12.38277067,9.674233667,8.042591,5.070345333,5.331094667,7.32118
307.449677,7.004304,4.829233333,8.197635333,12.36865867,9.636881333,7.961701,5.149939,5.240183,7.313708
307.820313,7.058983,4.788753,8.093750667,12.30915933,9.591273,7.932682333,5.167466333,5.197222,7.331744667
308.190857,7.111627667,4.762237,8.154807333,12.28343533,9.507765667,7.994036,5.062326667,5.203889,7.265217
308.561401,7.078796333,4.745303667,8.151362333,12.291579,9.491869,8.035896667,5.057005,5.188932333,7.265037667
308.931915,7.074851,4.773662,8.149171333,12.25790867,9.457062,8.018617,4.995514667,5.121147,7.288988667
309.302399,7.125180667,4.784326667,8.145900667,12.20487333,9.47736,8.011732667,5.011402667,5.225360333,7.327315
309.672821,7.127544,4.751554,8.12324,12.21309867,9.419429333,7.986470333,5.015778,5.233676,7.282070333
310.043243,7.110634333,4.806205333,8.135042333,12.174923,9.523728667,8.094394667,5.008388667,5.218635333,7.242608333
310.413635,7.066114333,4.847513333,8.106005333,12.14937233,9.542225667,8.120412667,4.986225667,5.230568333,7.226483667
310.784027,7.031228,4.841935,8.179335667,12.08940633,9.475612,8.110645333,5.102617333,5.228349333,7.195767667
311.154327,7.035608667,4.830604333,8.198734667,11.98550067,9.502974333,8.073911,5.081820333,5.157242333,7.204375
311.524628,6.969583,4.843059,8.183437667,11.95970533,9.557763667,8.068429333,5.071594,5.167526,7.145884
311.894928,6.928076333,4.772206333,8.235568333,11.964913,9.531429,8.104294333,5.091136333,5.204421667,7.228475
312.265167,6.931561,4.745575667,8.208024,11.92514067,9.447313667,8.116371667,5.139778,5.178854333,7.274009333
312.635345,6.890274667,4.734147333,8.213712,11.993161,9.464047333,8.157756333,5.147081333,5.201306,7.303382
313.005524,6.92035,4.799639333,8.136982,11.97681467,9.417110333,8.14956,5.137357667,5.184606,7.335312333
313.375671,6.921158,4.799489667,8.175020667,11.95053133,9.482377667,8.198919667,5.056675333,5.115906,7.356867
313.745819,6.981900333,4.831547667,8.231716667,11.90024767,9.532925667,8.181773,5.066971,5.093736333,7.266059333
314.115906,6.949510667,4.861595333,8.255326667,11.94813633,9.519183667,8.179368333,5.113603667,5.046165333,7.369780667
314.485962,6.928841,4.900729333,8.235039,11.93879133,9.475862667,8.163948,5.089609333,4.994661,7.390111667
314.855988,6.894380333,4.928804333,8.275484667,11.92264267,9.441604,8.20654,5.189077667,5.002342,7.497979667
315.225983,6.862997667,4.960249667,8.264763,11.96388433,9.443834,8.204377667,5.073332667,5.004841333,7.480015
315.595947,6.847473,5.088467333,8.330142,12.00221167,9.528938333,8.229428333,5.052573333,4.943249333,7.504422667
315.965912,6.782066333,5.024152333,8.296112333,12.00138067,9.574237333,8.167975667,5.126801667,4.932709667,7.536110667
316.335815,6.744063333,4.994275667,8.288443333,11.98833933,9.544716333,8.188451333,5.142793,4.959498667,7.537666333
316.705688,6.670353333,4.988875667,8.315741333,12.04655167,9.595367,8.201887,5.144784333,5.026160333,7.509175
317.075562,6.473907,5.018837,8.336686,12.06692233,9.529631667,8.148876333,5.102571,4.945115667,7.469096
317.445374,6.467965,4.993937333,8.413005,12.02975567,9.600802667,8.113359333,5.060181667,5.021093667,7.523072
