Species,Spider,Location,Colour,Hue (°),Saturation,y,x,Collected
Argiope,AkBW1,Broadwater,yellow,57.67665038,0.356745009,0.190750405,0.30146523,January
Argiope,AkBW2,Broadwater,white,53.02418735,0.045531987,0.027386481,0.036375026,January
Argiope,AkOB2,Old Bar,white/yellow,57.84525462,0.258843388,0.137758457,0.219140382,January
Argiope,AkOB3,Old Bar,yellow,64.20306749,0.277122184,0.120598835,0.249504761,January
Argiope,AkOB4,Old Bar,yellow,56.22751253,0.322934121,0.179517956,0.268439472,January
Argiope,AkOB5,Old Bar,yellow,50.54319892,0.409176769,0.260030307,0.315926997,January
Argiope,AKOB6,Old Bar,yellow,46.73106979,0.409455976,0.28065079,0.298143137,January
Argiope,AkOB7,Old Bar,yellow,50.75334523,0.314154992,0.198753333,0.24329092,January
Argiope,AkOB8,Old Bar,yellow,50.60742624,0.380721388,0.241617349,0.294227518,January
Argiope,AkSY1,Sydney,yellow,58.90885884,0.342683268,0.176961958,0.293455767,January
Argiope,AkSY2,Sydney,yellow,53.77323432,0.274670411,0.162325427,0.221572315,January
Argiope,AkSY3,Sydney,white/yellow,58.43149926,0.290879635,0.152280602,0.247833776,January
Argiope,AkSY4,Sydney,yellow,48.07182393,0.457400314,0.305634204,0.340298076,January
Argiope,AkSY5,Sydney,white/yellow,55.00922413,0.261471908,0.149939642,0.21420939,January
Eriophera,EtBW1,Broadwater,white,51.63606181,0.025048848,0.015546678,0.019640407,January
Eriophera,EtBW3,Broadwater,white,46.17966546,0.021056872,0.014579763,0.015192839,January
Eriophera,EtBW4,Broadwater,white/yellow,72.6065968,0.214577202,0.064143761,0.204765606,January
Eriophera,EtBW5,Broadwater,white,60.72343852,0.051641298,0.02525392,0.045045124,January
Eriophera,EtBW6,Broadwater,white,60.08894274,0.093498002,0.046623249,0.081044118,January
Eriophera,EtOB1,Old Bar,white,46.25094995,0.037777266,0.02612302,0.027289368,January
Eriophera,EtOB2,Old Bar,white,325.5237425,0.013366476,0.0110188,-0.00756629,January
Eriophera,EtOB3,Old Bar,white,38.11567174,0.029201815,0.022975002,0.018024853,January
Eriophera,EtOB4,Old Bar,white,47.52920941,0.039325956,0.026553446,0.029007677,January
Eriophera,EtOB5,Old Bar,white,45.02252211,0.046995801,0.033217984,0.03324411,January
Eriophera,EtOB6,Old Bar,white,61.81184457,0.070479264,0.033292189,0.062120502,January
Eriophera,EtOB7,Old Bar,white,47.58972683,0.035925419,0.024229352,0.026524973,January
Eriophera,EtOB8,Old Bar,white,76.97504841,0.072247607,0.01628283,0.070388821,January
Eriophera,EtSY1,Sydney,white,81.7000099,0.022467967,0.003243387,0.022232634,January
Eriophera,EtSY2,Sydney,white,59.20063392,0.054030788,0.027665566,0.046410586,January
Eriophera,EtSY3,Sydney,white,71.65744655,0.041006761,0.012904725,0.03892329,January
Nephila,NpBW1,Broadwater,white/yellow,51.82356931,0.103658198,0.064069584,0.081486872,January
