wl,W1,W2,W3,W4,W9,W10,W11,W12,W14,W16,W17,W18,W19,W20,W20.1,W21,W22,W23,W24,W25,W26,W27
300.031616,24.90787133,10.11358233,20.37377533,17.20933167,13.425828,21.87405533,18.740094,16.01818533,9.780880333,15.74722933,16.03440067,11.42705633,20.00857067,18.08043833,22.94526633,13.73135533,23.403791,13.43964267,17.60282867,21.56826633,10.90724,9.199171
300.402832,24.98005533,10.09840533,20.492597,17.276059,13.51047933,21.982933,18.77271767,16.10755067,9.852049667,15.799303,16.05065267,11.478137,20.11061,18.19152667,23.00491633,13.75834033,23.45184467,13.37107067,17.67515533,21.71209033,10.93891133,9.264718333
300.773987,25.07762667,10.12637433,20.62117033,17.414867,13.60584633,22.04454367,18.95225967,16.19183833,9.899585667,15.84747867,15.94571833,11.506039,20.176015,18.23305967,23.08637367,13.83753767,23.50303833,13.32815967,17.71662867,21.77814667,11.004293,9.232192
301.145111,25.18145433,10.13282633,20.75201333,17.53223067,13.61055467,22.118128,19.02429467,16.27942867,9.805904333,15.84737533,16.04861667,11.548559,20.29303833,18.23685933,23.198123,13.895124,23.540615,13.38063067,17.76151333,21.833706,11.035677,9.283903333
301.516174,25.356245,10.170486,20.93662133,17.65383833,13.72043567,22.20764533,19.18471167,16.376331,9.858248667,15.886522,16.10272933,11.57701833,20.34451533,18.25404333,23.249866,13.93731767,23.56043067,13.38353567,17.875889,21.949239,11.082106,9.386215333
301.887207,25.470175,10.287955,21.12625633,17.74801567,13.80183167,22.302361,19.26873633,16.40873233,9.886685,15.93361167,16.20376433,11.619529,20.40530733,18.34236867,23.26453967,13.99294433,23.57643,13.418419,17.899498,22.12302167,11.09837,9.401783
302.258301,25.49482867,10.34883,21.28874067,17.904411,13.86655567,22.380632,19.316099,16.46159133,9.89088,15.97466,16.15670433,11.639518,20.485625,18.385936,23.232707,14.00075,23.587332,13.476632,18.00651733,22.214878,11.15785633,9.474231
302.629303,25.507612,10.494648,21.40052167,17.94922733,13.91970233,22.40246667,19.34848967,16.55894833,9.914334667,15.98068233,16.19350133,11.67011667,20.586127,18.39098433,23.26693333,14.06980833,23.64651567,13.564423,17.98395,22.26015833,11.175194,9.580147
303.000305,25.64071467,10.497675,21.48124733,18.055952,13.956317,22.48805767,19.41043333,16.65277767,9.897374667,15.99268267,16.26285633,11.77576567,20.74501367,18.38798067,23.20727167,14.07831467,23.64497433,13.572988,18.02220467,22.38033867,11.163752,9.623330333
303.371216,25.75454633,10.51729567,21.54776967,18.16157333,13.96852733,22.52929467,19.38885833,16.749994,9.846968333,15.98733533,16.302877,11.78722967,20.77769633,18.436082,23.19849033,14.07558067,23.67814733,13.59103867,18.11710133,22.48197933,11.17335067,9.709474
