wl,W2.2.W.P,W4.2.W.P,W10.2.W.P,W12.2.W.P,W16.2.W.P,W18.2.W.P,W26.2.W.P
300.031616,125.944074,101.492701,18.79910467,78.86166367,68.753273,58.579526,34.46121733
300.402832,126.226537,101.9696657,18.82911433,79.30479433,69.27436967,58.811315,34.238462
300.773987,126.991618,102.2063017,18.735137,79.73512767,69.76860567,58.990583,33.98771033
301.145111,127.305013,102.5565237,18.683782,80.189107,70.27471767,59.37197767,33.74339533
301.516174,127.730349,102.8602397,18.486758,80.71286033,70.504312,59.758686,33.48811067
301.887207,128.0852433,103.2499567,18.40136967,80.935318,70.81262467,60.05576567,33.17058167
302.258301,128.294548,103.618205,18.35315433,81.312439,71.27054233,60.308318,32.95947633
302.629303,128.6322073,103.650065,18.23402367,81.28420733,71.38990133,60.364685,32.62070267
303.000305,129.159009,103.8282773,18.192663,81.44164533,71.48217533,60.584287,32.19637933
303.371216,129.343745,104.0412723,17.94409533,81.50843033,71.70353467,60.78214,31.78651533
303.742126,129.50296,104.1164527,17.81602633,81.63216133,71.765176,60.887366,31.50289933
304.113037,129.543968,104.192136,17.696251,81.64902467,71.93178567,60.95548733,31.268046
304.483856,129.6220143,104.4859697,17.597456,81.70898933,71.99797333,60.9728,30.999892
304.854736,129.7015687,104.563985,17.41411967,81.66531133,72.02409233,61.07471467,30.70634533
305.225525,129.481903,104.4760157,17.177261,81.54395033,71.90977733,60.90931933,30.33629467
305.596283,129.1581953,104.4136023,17.039403,81.29125733,71.980676,60.80636867,29.98963167
305.967041,128.9400913,104.427882,16.90328633,81.09663133,71.75806567,60.62704467,29.71718833
306.337769,128.9508313,104.3267543,16.78912033,80.67476667,71.58075067,60.51047,29.38532333
306.708405,128.348694,104.5028407,16.67486333,80.49177067,71.43964133,60.43167233,29.09598233
307.079071,128.1154733,104.4207763,16.50249867,80.33940133,71.45233533,60.21869533,28.71427867
307.449677,127.7368063,104.2257437,16.32968267,80.24587,71.28889367,60.285352,28.36353567
307.820313,127.1532567,103.8208697,16.199054,80.036308,71.309152,60.15155933,28.09604467
308.190857,126.929273,103.3972523,16.01637833,79.822207,71.10330833,59.916439,27.880593
308.561401,126.4476777,103.210612,15.82058367,79.63479333,70.945081,59.780745,27.632448
308.931915,126.0468443,102.884074,15.70038067,79.52444467,70.75394433,59.50483033,27.40841133
309.302399,125.810338,102.4130833,15.59338667,79.31627667,70.55732867,59.329001,27.07298667
309.672821,125.641393,102.0440877,15.44835767,79.12458267,70.45731867,59.19729233,26.80089667
310.043243,125.6351903,101.77241,15.26090933,78.95117933,70.22701533,58.92006067,26.49272933
310.413635,125.2772753,101.569079,15.18094567,78.785492,70.151759,58.817159,26.22838933
310.784027,125.0653993,101.2817967,15.10989867,78.499484,69.95171467,58.632052,25.911239
311.154327,124.491338,100.7345147,15.04590633,78.327385,69.74565233,58.462873,25.66221367
311.524628,123.9605257,100.2110777,14.91749033,78.00570667,69.61716833,58.26622033,25.34697533
