wl,EtBW7.W,EtBW19.W
300.031616,20.88100533,27.41100267
300.402832,20.947628,27.605833
300.773987,21.06064933,27.72974067
301.145111,21.11013333,27.92076467
301.516174,21.19185367,28.07499367
301.887207,21.31981167,28.22300133
302.258301,21.44829633,28.369648
302.629303,21.604234,28.56467933
303.000305,21.628591,28.66678567
303.371216,21.78480867,28.832885
303.742126,21.778822,28.98877167
304.113037,21.865265,29.086867
304.483856,21.940505,29.18235033
304.854736,21.99700833,29.222398
305.225525,22.087195,29.28204433
305.596283,22.30224233,29.33435067
305.967041,22.39436467,29.38271433
306.337769,22.43907933,29.57634033
306.708405,22.58914,29.621151
307.079071,22.651159,29.71230767
307.449677,22.75785433,29.80399767
307.820313,22.884291,29.885072
308.190857,23.06632933,29.895016
308.561401,23.17605367,29.997565
308.931915,23.392119,30.08284267
309.302399,23.61087933,30.23548
309.672821,23.79673333,30.32419667
310.043243,23.94824933,30.47458633
310.413635,24.15241833,30.59704733
310.784027,24.40386633,30.82651733
311.154327,24.673723,31.02936333
311.524628,24.93551133,31.309548
311.894928,25.21758467,31.582975
312.265167,25.53099767,31.975858
312.635345,25.92361333,32.338661
313.005524,26.23455867,32.78650467
313.375671,26.578275,33.18331567
313.745819,27.05819267,33.65090233
314.115906,27.62588833,34.116349
314.485962,28.11798467,34.77315
314.855988,28.77557733,35.50077767
315.225983,29.442131,36.376479
315.595947,30.274451,37.14814633
315.965912,31.12703133,38.08297733
316.335815,32.05230633,39.09745
316.705688,32.93826667,40.06172833
317.075562,34.03380633,41.12448867
317.445374,35.06284333,42.22632967
317.815216,36.282116,43.319004
318.184967,37.37260333,44.583429
318.554688,38.66132233,45.81690967
318.924377,39.87044667,47.17553733
319.294037,41.24053833,48.63782367
319.663696,42.76069633,50.20586867
320.033295,44.16800567,51.556202
320.402924,45.52942133,52.94431433
320.772461,46.950231,54.17763267
321.141968,48.26814567,55.59193667
321.511475,49.71675233,56.98090367
321.88092,50.851846,58.34225067
322.250366,52.01878233,59.45377967
322.619751,53.05887967,60.51596933
322.989136,54.15378467,61.51391867
323.35849,55.25701,62.69239267
323.727814,56.32735967,63.82332867
324.097107,57.27677533,64.99573133
324.466339,58.22488533,66.21438067
324.835541,58.99560433,67.03433367
325.204712,59.88349167,67.82443733
325.573914,60.57077933,68.665989
325.943024,61.35513833,69.380455
326.312164,61.92691933,70.17143
326.681244,62.80374767,70.898843
327.050262,63.46701067,71.41938
327.41925,64.18434533,72.04178867
327.788239,64.87567267,72.72931933
328.157166,65.45409,73.45130667
328.526123,66.07469967,74.24174233
328.894989,66.68946467,74.68766767
329.263885,67.09921267,75.22702033
329.63269,67.65669733,75.49267033
330.001495,68.15229533,75.97613533
330.37027,68.69497433,76.234469
330.738983,69.08080033,76.55216967
331.107697,69.37150333,76.821935
331.476379,69.78690333,77.086492
331.845032,70.005104,77.300481
332.213654,70.22797133,77.45376067
332.582245,70.43144233,77.68542467
332.950806,70.50512433,77.88111633
333.319305,70.537946,78.01436867
333.687775,70.55468533,78.05661
334.056244,70.704262,77.973305
334.424683,70.64030967,77.94224333
334.793091,70.62402067,77.86668667
335.161499,70.46718867,77.90754667
335.529785,70.33261367,77.93509167
335.898132,70.50001,77.869298
336.266388,70.54245467,77.698415
336.634613,70.55418633,77.78020733
337.002838,70.50871033,77.687228
337.371033,70.481725,77.67186733
337.739197,70.46157067,77.65552767
338.10733,70.632001,77.68133533
338.475433,70.72344733,77.55188767
338.843475,70.70614633,77.500036
339.211517,70.528829,77.38669567
339.579498,70.52913933,77.141434
339.947449,70.51568333,76.90574133
340.31543,70.26546733,76.65765867
340.683289,70.25674967,76.19780233
341.051208,70.140475,75.73220067
341.419067,70.078987,75.21906267
341.786865,69.87844633,74.892431
342.154663,69.57105267,74.59832533
342.522369,69.59255467,74.23298367
342.890076,69.54716733,73.80485
343.257813,69.46302033,73.464302
343.625458,69.283615,73.1452
343.993134,69.31461567,72.92141967
344.360718,69.18727633,72.762431
344.728271,69.10343667,72.57633967
345.095795,69.22397867,72.34238567
345.463287,69.20329533,72.06101867
345.83075,69.06143433,71.90155033
346.198212,68.85811133,71.782711
346.565613,68.76345733,71.477019
346.933014,68.76374433,71.13516833
347.300354,68.76856233,70.85442333
347.667694,68.67593133,70.586787
348.034973,68.73335133,70.39016333
348.402222,68.54919067,70.252426
348.769409,68.56711467,70.01550433
349.136627,68.58058433,69.97501367
349.503784,68.58717733,69.847351
349.870911,68.64606733,69.41775267
350.238007,68.491675,69.10459167
350.605072,68.393576,68.78802467
350.972107,68.28754333,68.40765733
351.339111,68.113865,68.058028
351.706085,67.82729467,67.62918733
352.073029,67.66243133,67.08926133
352.439972,67.48294967,66.56122467
352.806824,67.20153533,66.14072933
353.173676,66.974448,65.64014967
353.540466,66.68399433,65.08299733
353.907257,66.43401333,64.53670733
354.273987,66.219945,63.974013
354.640747,65.829318,63.568156
355.007446,65.55012133,63.22216267
355.374115,65.28734467,62.98526133
355.740723,65.084947,62.60314433
356.1073,64.85824067,62.349944
356.473846,64.58653,62.17690167
356.840393,64.20508967,61.71539433
357.206879,63.972234,61.38346133
357.573364,63.726954,61.09500267
357.939789,63.393463,60.69242733
358.306213,63.038672,60.35356533
358.672577,62.829769,59.87609367
359.03891,62.55530533,59.53657033
359.405212,62.40252033,59.34807333
359.771484,62.25905467,59.147016
360.137695,62.176024,58.97553
360.503937,61.93279767,58.86222967
360.870148,61.911368,58.81301467
361.236298,61.76574867,58.77611433
361.602417,61.763378,58.687018
361.968475,61.704366,58.68082567
362.334503,61.786326,58.582283
362.700562,61.67992033,58.54581333
363.066528,61.61309667,58.31641133
363.432526,61.48029467,58.19022233
363.798431,61.49054967,58.07451733
364.164337,61.44926333,57.86551033
364.530182,61.52280933,57.911901
364.895996,61.51371267,57.83794133
365.26181,61.52779267,57.858265
365.627563,61.598152,57.965051
365.993286,61.67195367,58.01435967
366.359009,61.730081,58.25703967
366.72467,61.87078967,58.24205
367.090302,61.83612567,58.230859
367.455902,61.897311,58.13828167
367.821503,61.85267667,58.12347767
368.187012,61.84877767,57.94958367
368.552521,61.71289333,57.766613
368.917999,61.74832533,57.57255167
369.283447,61.64183067,57.483289
369.648865,61.52636833,57.37973033
370.014282,61.37268333,57.22984967
370.379608,61.33646,56.97164167
370.744904,61.26628633,56.902022
371.110168,61.20944733,56.796107
371.475403,61.09869267,56.60970833
371.840637,61.06616467,56.521838
372.205841,60.92122,56.401019
372.570984,60.847837,56.21631767
372.936127,60.72561,56.029058
373.301208,60.66219467,55.81781367
373.66626,60.49619633,55.57083633
374.03125,60.26872767,55.36978533
374.39624,60.204286,55.29704033
374.7612,60.093507,55.14212067
375.12616,59.92602033,55.16266133
375.491028,59.82403033,54.97523633
375.855927,59.725535,54.96428667
376.220734,59.59589,54.826833
376.585541,59.313773,54.71784067
376.950287,59.26027267,54.58070367
377.315002,59.187935,54.44054
377.679688,59.02985233,54.37083067
378.044373,58.916321,54.28939167
378.408997,58.757825,54.20252733
378.773621,58.80858367,54.173973
379.138184,58.77125433,54.13181067
379.502716,58.565521,54.06501
379.867188,58.45542767,53.897814
380.231659,58.34213767,53.748085
380.5961,58.20635967,53.66702933
380.96051,58.05964533,53.56517933
381.324921,58.06391,53.57310767
381.68924,58.12549333,53.38851933
382.053528,58.00084167,53.31053033
382.417816,57.914093,53.27165
382.782013,57.86658233,53.06101467
383.14621,57.68720867,53.06346133
383.510406,57.595703,52.972917
383.874542,57.65313333,52.880268
384.238678,57.73582833,52.85390867
384.602753,57.67596567,52.77270867
384.966766,57.59456633,52.682194
385.33078,57.49172067,52.66198833
385.694763,57.55029933,52.63565433
386.058685,57.70956933,52.51196767
386.422607,57.594748,52.51028933
386.786499,57.54059867,52.40270333
387.15036,57.554293,52.42120733
387.51413,57.52962733,52.39427933
387.87793,57.51012033,52.30795167
388.241669,57.538002,52.23966067
388.605377,57.585429,52.29077633
388.969025,57.475024,52.13129567
389.332703,57.404237,52.162014
389.69632,57.29793533,52.19956333
390.059875,57.234179,52.15952167
390.423431,57.18693433,52.17850633
390.786957,57.261641,52.08983767
391.150421,57.282341,52.054315
391.513855,57.12489833,52.139614
391.877228,57.154114,52.034538
392.240631,57.14995833,51.988782
392.604004,57.13827367,51.99477367
392.967316,57.22567233,51.91270967
393.330597,57.16738133,51.86570467
393.693848,57.063225,51.84143567
394.057037,57.057241,51.68457433
394.420197,57.02643733,51.653914
394.783325,57.02001933,51.64427433
395.146484,57.09278867,51.60034167
395.509552,57.06239033,51.659818
395.87262,56.96185567,51.639384
396.235596,56.956876,51.615102
396.598572,57.031545,51.59850933
396.961517,57.08840667,51.62058133
397.324432,57.11628067,51.57139467
397.687286,57.18335867,51.604065
398.05014,57.28261433,51.632529
398.412964,57.19991933,51.620561
398.775757,57.30224633,51.54581867
399.138489,57.391289,51.44347667
399.50119,57.425171,51.51090633
399.863861,57.37675967,51.58460867
400.226471,57.47186533,51.55209
400.589081,57.49718333,51.604117
400.951691,57.508859,51.522059
401.314209,57.558773,51.48600133
401.676758,57.570708,51.51067333
402.039185,57.610929,51.51257467
402.401642,57.686708,51.498376
402.764038,57.68025967,51.46934533
403.126404,57.817407,51.47835
403.488739,57.885428,51.44096667
403.851074,57.92393733,51.33466833
404.213348,57.91644567,51.42413967
404.575592,57.90397267,51.42887367
404.937775,57.95430367,51.46371467
405.299927,58.037636,51.42409767
405.662048,57.96823133,51.36926
406.024139,58.10189933,51.44725067
406.3862,58.08016967,51.575985
406.74826,58.13304867,51.66784667
407.11026,58.091956,51.60648733
407.47226,58.210205,51.56637567
407.834167,58.22546533,51.626456
408.196075,58.30702833,51.664528
408.557892,58.43488033,51.761986
408.919739,58.39048133,51.89952333
409.281494,58.49336133,51.974107
409.64328,58.622406,51.981786
410.005035,58.68492133,51.885629
410.36673,58.73177733,51.93465167
410.728394,58.66575633,51.88411067
411.089966,58.78559367,51.977684
411.451569,58.889661,52.02792233
411.813141,58.914801,51.97979
412.174652,58.97315333,51.98658633
412.536163,59.03823433,51.95792767
412.897644,59.11322633,51.939804
413.259033,59.158554,51.960766
413.620392,59.124186,51.91971833
413.98172,59.12379067,51.83435167
414.343048,59.06490833,51.787117
414.704315,59.09399533,51.87984233
415.065582,58.99020533,51.83343367
415.426788,58.98062633,51.81041867
415.787994,58.893547,51.71334933
416.149109,58.83407967,51.70781733
416.510223,58.85374933,51.608556
416.871307,58.729383,51.439381
417.23233,58.545971,51.46020867
417.593323,58.42528,51.47746933
417.954315,58.334953,51.502266
418.315247,58.29613233,51.530525
418.676178,58.25747767,51.468843
