wl,EtBW1.W,EtBW3.W,EtBW4.WY,EtBW5.W,EtBW6.W,EtOB1.W,EtOB2.W,EtOB3.W,EtOB4.W,EtOB5.W,EtOB6.W,EtOB7.W,EtOB8.W,EtSY1.W,EtSY2.W,EtSY3.W
300.031616,43.253638,97.54573067,26.92975767,45.24136467,31.940126,22.55772933,53.160071,21.51160233,38.65066133,23.84962633,30.60047767,25.464209,31.68164,40.618033,23.95473633,23.65539467
300.402832,43.60584133,98.012222,26.91579767,45.50460033,32.29008033,22.75123467,53.49806067,21.608008,38.79200233,24.037268,30.79764867,25.58519567,31.93471467,40.93093167,24.089046,23.77887533
300.773987,43.90319733,98.51302367,26.89786733,45.71232467,32.61448533,22.85572133,53.92868433,21.69492567,38.91558333,24.18285667,30.98347733,25.72996833,32.24035833,41.15811467,24.24574967,23.952214
301.145111,44.29661067,98.87794467,26.86681833,45.91752733,32.91258567,23.007721,54.18231967,21.77208,39.11164833,24.27851867,31.201001,25.95854567,32.55068967,41.406919,24.482252,24.147453
301.516174,44.61721033,99.32134233,26.81338467,46.16622067,33.323342,23.114478,54.68747167,21.793484,39.28588867,24.39101067,31.44421467,26.06259467,32.90597133,41.835612,24.65410933,24.24507533
301.887207,45.07416133,99.28069533,26.75453,46.43133033,33.78730467,23.19208767,55.05696367,21.92611333,39.37772233,24.55283433,31.82646767,26.27713267,33.228604,41.93079033,24.789768,24.35468
302.258301,45.452492,99.523862,26.67005267,46.71705633,34.158282,23.37924733,55.54402667,21.986302,39.502537,24.67422233,32.215594,26.43151933,33.62934833,42.165374,24.98677867,24.547371
302.629303,45.774091,99.78590133,26.46711067,46.93604667,34.45203167,23.588831,55.841709,22.02322833,39.668171,24.81936933,32.48486733,26.540254,33.89562967,42.37094467,25.198525,24.747273
303.000305,45.99815933,100.0391263,26.38742667,47.14242967,34.774382,23.7243,56.15492633,22.07630933,39.91027967,24.885045,32.76423033,26.67192533,34.16465633,42.55957567,25.335003,24.890416
303.371216,46.236192,100.28095,26.168712,47.37379367,35.10651433,23.82431467,56.36339567,22.15674767,40.13606767,25.040179,33.17177133,26.662922,34.39634967,42.70036933,25.619486,25.038646
303.742126,46.461977,100.4385987,26.06025467,47.70809833,35.29232533,23.98685333,56.61512633,22.265899,40.21347933,25.25350133,33.426909,26.801157,34.49362067,42.897695,25.81512533,25.17815233
304.113037,46.76326433,100.3913397,25.96330533,47.89708567,35.494302,24.10786933,56.831036,22.367464,40.30601367,25.32923633,33.662969,27.03114767,34.68782833,43.19258233,25.95236667,25.32982233
304.483856,47.04375167,100.3289923,25.79922667,48.194295,35.78105067,24.24378167,56.95448067,22.37395167,40.47129333,25.415374,33.93559533,27.185496,34.87189933,43.31885267,26.156093,25.45211
304.854736,47.25685,100.4092763,25.62536867,48.431211,35.99204233,24.431991,57.24488433,22.43855567,40.722013,25.52986933,34.18132233,27.27635033,35.02447633,43.38933967,26.25929133,25.68345367
305.225525,47.381613,100.4536747,25.42030733,48.538587,36.18477,24.63353433,57.289429,22.63739533,40.917849,25.73785667,34.431503,27.36618433,35.13361733,43.49179467,26.36939,25.766411
305.596283,47.494318,100.6581243,25.250352,48.62473033,36.40068833,24.80430533,57.160843,22.813118,41.050313,25.89547667,34.74507967,27.59877267,35.369999,43.69935267,26.473304,25.91141967
305.967041,47.69176033,100.796628,25.09916733,48.74301633,36.57701133,24.99638867,57.235799,22.94965367,41.32852333,26.07671933,34.89033067,27.667707,35.49000367,43.83290467,26.63892933,26.127313
306.337769,47.86534233,100.6606957,24.925168,48.866304,36.76395167,25.20301633,57.21481567,23.05930733,41.44646967,26.13568867,35.05497067,27.79700067,35.69411033,43.88862733,26.76941833,26.25627133
306.708405,48.01580833,100.626564,24.79204267,49.107445,36.933197,25.37753033,57.14991533,23.181555,41.630053,26.260593,35.41067333,27.91783267,35.77704367,43.972046,26.98614467,26.45629133
307.079071,48.10007633,100.6752903,24.675384,49.29504433,37.11275,25.46243167,57.03248733,23.25597567,41.79123933,26.37279333,35.741787,28.09534533,35.93764367,44.170937,27.12189433,26.61374733
307.449677,48.23533,100.5173543,24.473229,49.35580567,37.26698833,25.578275,56.926735,23.435593,41.97146067,26.56805667,35.98936233,28.28619567,35.98942967,44.27134933,27.245815,26.78433667
307.820313,48.35827767,100.404943,24.268777,49.471026,37.450428,25.74073333,56.81338633,23.57311867,42.08925867,26.72483,36.22250233,28.499759,36.04998967,44.39686333,27.306804,26.8537
